pais;codigo_do_pais;nome_do_pais;descricao;loc_cod;UF;RA;ra_desc;RG;rg_desc;RM;rm_desc
638;9800638;Ilha Reunião;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
642;9800642;Romênia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
643;9800643;Rússia (Federação Russa);Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
646;9800646;Ruanda;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
652;9800652;São Bartolomeu;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
654;9800654;Santa Helena;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
659;9800659;São Cristóvão e Nevis;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
660;9800660;Anguilla;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
662;9800662;Santa Lúcia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
663;9800663;Saint Martin (parte francesa);Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
666;9800666;Saint Pierre e Miquelon;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
670;9800670;São Vicente e Granadinas;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
674;9800674;San Marino;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
678;9800678;São Tome e Príncipe;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
680;9800680;Sark;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
682;9800682;Arábia Saudita;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
686;9800686;Senegal;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
688;9800688;Sérvia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
690;9800690;Seichelles;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
694;9800694;Serra Leoa;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
